type	latitude	longitude	altitude (m)	name	desc
T	61.119095000	9.197544000	948.3		
T	61.118912000	9.197518000	948.8		
T	61.118325000	9.196815000	949.5		
T	61.118247000	9.196691000	949.4		
T	61.118083000	9.196124000	949.8		
T	61.117957000	9.195531000	952.0		
T	61.117890000	9.194875000	952.4		
T	61.117847000	9.194659000	952.6		
T	61.117452000	9.193517000	952.9		
T	61.117312000	9.192950000	953.1		
T	61.117215000	9.192085000	953.4		
T	61.117044000	9.191248000	953.4		
T	61.116990000	9.190883000	953.4		
T	61.116974000	9.190399000	953.5		
T	61.116980000	9.190138000	952.9		
T	61.117054000	9.189164000	952.3		
T	61.117183000	9.188304000	950.8		
T	61.117211000	9.188021000	950.8		
T	61.117205000	9.187622000	950.9		
T	61.117151000	9.186867000	950.5		
T	61.117214000	9.185781000	949.8		
T	61.117212000	9.185383000	949.7		
T	61.117136000	9.184634000	950.6		
T	61.117136000	9.184634000	950.6		
T	61.117056000	9.184119000	951.3		
T	61.117040000	9.183706000	951.8		
T	61.117091000	9.183259000	948.4		
T	61.117110000	9.182938000	948.1		
T	61.117284000	9.181976000	947.7		
T	61.117314000	9.181661000	947.7		
T	61.117310000	9.181368000	947.7		
T	61.117270000	9.181144000	947.8		
T	61.117112000	9.180748000	947.7		
T	61.116907000	9.180477000	947.5		
T	61.116543000	9.180181000	951.7		
T	61.116232000	9.180024000	952.7		
T	61.115826000	9.179921000	953.5		
T	61.115687000	9.179852000	953.4		
T	61.115502000	9.179650000	954.3		
T	61.115193000	9.179150000	954.8		
T	61.114995000	9.178900000	955.3		
T	61.114759000	9.178662000	955.2		
T	61.114389000	9.178359000	955.3		
T	61.114217000	9.178131000	955.3		
T	61.114095000	9.177789000	955.2		
T	61.113973000	9.177307000	955.5		
T	61.113866000	9.176700000	955.6		
T	61.113803000	9.176511000	955.7		
T	61.113711000	9.176373000	955.8		
T	61.113526000	9.176262000	956.1		
T	61.113172000	9.176233000	957.0		
T	61.113018000	9.176272000	957.4		
T	61.112876000	9.176379000	957.7		
T	61.112633000	9.176700000	957.9		
T	61.112379000	9.176826000	958.4		
T	61.112095000	9.176852000	958.5		
T	61.111932000	9.176769000	958.6		
T	61.111849000	9.176678000	958.5		
T	61.111695000	9.176377000	958.5		
T	61.111556000	9.176021000	959.6		
T	61.111257000	9.175108000	959.8		
T	61.111235000	9.174978000	959.3		
T	61.111240000	9.174780000	959.3		
